true_class,true_cls_nm,pred_set,set_size,covered,is_multi,global_idx,pairing_group,entropy,confidence,loc_score
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7398,DRUSEN_NORMAL,0.71895874,0.55137765,0.5474249720573425
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7399,CNV_DRUSEN,0.5729168,0.7421745,0.7847697734832764
2,DRUSEN,['DRUSEN'],1,1,0,7400,Singleton,0.2072347,0.94858795,0.6784611940383911
2,DRUSEN,['DRUSEN'],1,1,0,7401,Singleton,0.19950864,0.9497452,0.6018391847610474
2,DRUSEN,['DRUSEN'],1,1,0,7407,Singleton,0.25957745,0.9436206,0.7263779044151306
2,DRUSEN,['DRUSEN'],1,1,0,7408,Singleton,0.16902514,0.9601329,0.5945703387260437
2,DRUSEN,['CNV'],1,0,0,7411,Other,0.31051648,0.9281897,0.33515462279319763
2,DRUSEN,['DRUSEN'],1,1,0,7413,Singleton,0.31174916,0.9060789,0.596953809261322
2,DRUSEN,['DRUSEN'],1,1,0,7417,Singleton,0.04858453,0.9917463,0.6879163980484009
2,DRUSEN,['DRUSEN'],1,1,0,7418,Singleton,0.46838143,0.8226555,0.5782003998756409
2,DRUSEN,['DRUSEN'],1,1,0,7419,Singleton,0.3336017,0.8987993,0.6537331938743591
2,DRUSEN,['DRUSEN'],1,1,0,7421,Singleton,0.33058777,0.8977767,0.7039014101028442
2,DRUSEN,['DRUSEN'],1,1,0,7422,Singleton,0.43881774,0.8604934,0.5508063435554504
2,DRUSEN,['DRUSEN'],1,1,0,7423,Singleton,0.47447655,0.8188433,0.6857073903083801
2,DRUSEN,['DRUSEN'],1,1,0,7426,Singleton,0.5000592,0.8162032,0.6717349290847778
2,DRUSEN,['DRUSEN'],1,1,0,7427,Singleton,0.26227656,0.92706317,0.6441120505332947
2,DRUSEN,['DRUSEN'],1,1,0,7438,Singleton,0.35881335,0.88408524,0.7697327136993408
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7439,CNV_DRUSEN,0.6355984,0.69457555,0.5370906591415405
2,DRUSEN,['DRUSEN'],1,1,0,7443,Singleton,0.18240872,0.9583065,0.6112242937088013
2,DRUSEN,['DRUSEN'],1,1,0,7445,Singleton,0.31224683,0.9071025,0.6461126208305359
2,DRUSEN,['DRUSEN'],1,1,0,7446,Singleton,0.4559186,0.8440609,0.6020919680595398
2,DRUSEN,['DRUSEN'],1,1,0,7448,Singleton,0.4800006,0.81577003,0.6624775528907776
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7449,DRUSEN_NORMAL,0.71778846,0.55104023,0.5684789419174194
2,DRUSEN,['DRUSEN'],1,1,0,7451,Singleton,0.16330579,0.96411735,0.7883691787719727
2,DRUSEN,['DRUSEN'],1,1,0,7454,Singleton,0.3079632,0.92749995,0.4530726373195648
2,DRUSEN,['DRUSEN'],1,1,0,7455,Singleton,0.29741016,0.91422254,0.21839255094528198
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7460,CNV_DRUSEN,0.5817136,0.739591,0.61629319190979
2,DRUSEN,['DRUSEN'],1,1,0,7461,Singleton,0.3602206,0.8838414,0.8221265077590942
2,DRUSEN,['DRUSEN'],1,1,0,7462,Singleton,0.17673737,0.9591602,0.7737697958946228
2,DRUSEN,['DRUSEN'],1,1,0,7464,Singleton,0.24512282,0.9385991,0.7178128957748413
2,DRUSEN,['DRUSEN'],1,1,0,7469,Singleton,0.1704467,0.9598059,0.798488438129425
2,DRUSEN,['DRUSEN'],1,1,0,7477,Singleton,0.39024812,0.89032537,0.5393180251121521
2,DRUSEN,['DRUSEN'],1,1,0,7482,Singleton,0.121449195,0.9746116,0.7235485911369324
2,DRUSEN,['DRUSEN'],1,1,0,7487,Singleton,0.32043988,0.922139,0.7875338792800903
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7488,DRUSEN_NORMAL,0.7042712,0.6480761,0.4766087234020233
2,DRUSEN,['DRUSEN'],1,1,0,7489,Singleton,0.22734877,0.94549096,0.7878391742706299
2,DRUSEN,['DRUSEN'],1,1,0,7492,Singleton,0.38006595,0.874791,0.7033730149269104
2,DRUSEN,['DRUSEN'],1,1,0,7493,Singleton,0.34524372,0.89109385,0.716985285282135
2,DRUSEN,['DRUSEN'],1,1,0,7494,Singleton,0.17487472,0.95801044,0.7966057062149048
2,DRUSEN,['DRUSEN'],1,1,0,7495,Singleton,0.30413598,0.9094832,0.6718541979789734
2,DRUSEN,['DRUSEN'],1,1,0,7496,Singleton,0.45479783,0.8318416,0.5440208315849304
2,DRUSEN,['DRUSEN'],1,1,0,7500,Singleton,0.15060998,0.9659348,0.6037236452102661
2,DRUSEN,['DRUSEN'],1,1,0,7505,Singleton,0.4725624,0.82071584,0.7157666087150574
2,DRUSEN,['DRUSEN'],1,1,0,7506,Singleton,0.18464664,0.9556973,0.6706485748291016
2,DRUSEN,['DRUSEN'],1,1,0,7507,Singleton,0.23325829,0.93781626,0.5254719853401184
2,DRUSEN,['DRUSEN'],1,1,0,7508,Singleton,0.21184033,0.9560782,0.7330825328826904
2,DRUSEN,['DRUSEN'],1,1,0,7513,Singleton,0.1572761,0.9633933,0.5634821057319641
2,DRUSEN,['DRUSEN'],1,1,0,7514,Singleton,0.4939905,0.80731004,0.5664168000221252
2,DRUSEN,['DRUSEN'],1,1,0,7515,Singleton,0.14186378,0.9680288,0.45428624749183655
2,DRUSEN,['CNV'],1,0,0,7516,Other,0.5984833,0.80163926,0.6480283737182617
2,DRUSEN,['DRUSEN'],1,1,0,7526,Singleton,0.265442,0.9300436,0.7339644432067871
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7527,CNV_DRUSEN,0.6809317,0.6275908,0.691002368927002
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7528,CNV_DRUSEN,0.6402305,0.67035437,0.7837070822715759
2,DRUSEN,['DRUSEN'],1,1,0,7530,Singleton,0.45334342,0.8317233,0.3963949680328369
2,DRUSEN,['DRUSEN'],1,1,0,7534,Singleton,0.41504267,0.8548685,0.5210171937942505
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7540,DRUSEN_NORMAL,0.5917468,0.7335124,0.6660553216934204
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7544,CNV_DRUSEN,0.6150518,0.71097875,0.44574975967407227
2,DRUSEN,['NORMAL'],1,0,0,7546,Other,0.08172222,0.9856128,0.0
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7550,DRUSEN_NORMAL,0.56996894,0.7582886,0.8018225431442261
2,DRUSEN,['DRUSEN'],1,1,0,7552,Singleton,0.2495196,0.93203706,0.7517728805541992
2,DRUSEN,['DRUSEN'],1,1,0,7556,Singleton,0.09728159,0.98335,0.6741518378257751
2,DRUSEN,['DRUSEN'],1,1,0,7558,Singleton,0.4681941,0.824382,0.6819771528244019
2,DRUSEN,['DME'],1,0,0,7561,Other,0.10120216,0.9829262,0.0
2,DRUSEN,['DRUSEN'],1,1,0,7563,Singleton,0.308381,0.9088228,0.705963671207428
2,DRUSEN,['NORMAL'],1,0,0,7564,Other,0.34094948,0.8943094,0.9731049537658691
2,DRUSEN,['DRUSEN'],1,1,0,7568,Singleton,0.44698045,0.8389287,0.7634310126304626
2,DRUSEN,['DRUSEN'],1,1,0,7572,Singleton,0.19398709,0.9516656,0.6013088822364807
2,DRUSEN,['DME'],1,0,0,7573,Other,0.44386983,0.8651742,0.9741324782371521
2,DRUSEN,['DRUSEN'],1,1,0,7574,Singleton,0.2934606,0.9196352,0.7672731280326843
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7577,DRUSEN_NORMAL,0.69656,0.6427435,0.7444483041763306
2,DRUSEN,['DRUSEN'],1,1,0,7580,Singleton,0.34584624,0.8940097,0.7034399509429932
2,DRUSEN,['DRUSEN'],1,1,0,7581,Singleton,0.08334662,0.9858549,0.6942490935325623
2,DRUSEN,['DRUSEN'],1,1,0,7582,Singleton,0.124472104,0.97444946,0.7520219683647156
2,DRUSEN,['DRUSEN'],1,1,0,7583,Singleton,0.5080723,0.8102378,0.47084474563598633
2,DRUSEN,['DRUSEN'],1,1,0,7585,Singleton,0.40989676,0.85847336,0.5470160245895386
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7590,CNV_DRUSEN,0.585208,0.7325129,0.5103020668029785
2,DRUSEN,['DRUSEN'],1,1,0,7597,Singleton,0.18608941,0.9551381,0.5850997567176819
2,DRUSEN,['DRUSEN'],1,1,0,7601,Singleton,0.19782296,0.95100665,0.6864904761314392
2,DRUSEN,['DRUSEN'],1,1,0,7605,Singleton,0.10860751,0.9777274,0.6435722708702087
2,DRUSEN,['DRUSEN'],1,1,0,7608,Singleton,0.036558174,0.994451,0.7071278095245361
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7610,DRUSEN_NORMAL,0.532858,0.7933344,0.7379167675971985
2,DRUSEN,['DRUSEN'],1,1,0,7612,Singleton,0.12284125,0.9734985,0.7042161822319031
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7618,DRUSEN_NORMAL,0.61361426,0.7057823,0.6193874478340149
2,DRUSEN,['DRUSEN'],1,1,0,7620,Singleton,0.48287305,0.81738114,0.5466649532318115
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7622,CNV_DRUSEN,0.69976735,0.5828035,0.7883102297782898
2,DRUSEN,['DRUSEN'],1,1,0,7624,Singleton,0.3323927,0.89719665,0.610364556312561
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7625,CNV_DRUSEN,0.5901596,0.72460085,0.6847992539405823
2,DRUSEN,['DRUSEN'],1,1,0,7628,Singleton,0.20898128,0.9488575,0.5288176536560059
2,DRUSEN,['DRUSEN'],1,1,0,7631,Singleton,0.06481048,0.98814774,0.6820993423461914
2,DRUSEN,['DRUSEN'],1,1,0,7632,Singleton,0.21716268,0.9437307,0.5223703980445862
2,DRUSEN,['DRUSEN'],1,1,0,7635,Singleton,0.16971779,0.9594713,0.4094677269458771
2,DRUSEN,['DRUSEN'],1,1,0,7637,Singleton,0.39901814,0.86445594,0.4802209734916687
2,DRUSEN,['DRUSEN'],1,1,0,7638,Singleton,0.42619237,0.8601068,0.6514983177185059
2,DRUSEN,['DRUSEN'],1,1,0,7639,Singleton,0.483353,0.8143634,0.7872639298439026
2,DRUSEN,['DRUSEN'],1,1,0,7640,Singleton,0.5104126,0.8214629,0.6254559755325317
2,DRUSEN,['DRUSEN'],1,1,0,7642,Singleton,0.43927854,0.8414189,0.7979604601860046
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7646,CNV_DRUSEN,0.54023504,0.76979285,0.4759325683116913
2,DRUSEN,['DRUSEN'],1,1,0,7649,Singleton,0.31731004,0.9291546,0.8114160299301147
2,DRUSEN,['DRUSEN'],1,1,0,7650,Singleton,0.20550111,0.9568654,0.49052125215530396
2,DRUSEN,['DRUSEN'],1,1,0,7651,Singleton,0.14931463,0.96648026,0.7544026970863342
2,DRUSEN,['DRUSEN'],1,1,0,7656,Singleton,0.34417403,0.8916681,0.7779161334037781
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7658,CNV_DRUSEN,0.5033011,0.8003346,0.6483293771743774
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7661,CNV_DRUSEN,0.65565246,0.64569795,0.6132335662841797
2,DRUSEN,['DRUSEN'],1,1,0,7666,Singleton,0.36933056,0.8791249,0.46477243304252625
2,DRUSEN,['DRUSEN'],1,1,0,7667,Singleton,0.12598284,0.97249776,0.5559009909629822
2,DRUSEN,['DRUSEN'],1,1,0,7671,Singleton,0.1232779,0.97360265,0.6790774464607239
2,DRUSEN,['DRUSEN'],1,1,0,7674,Singleton,0.25466627,0.92997557,0.5221973657608032
2,DRUSEN,['DRUSEN'],1,1,0,7676,Singleton,0.1242374,0.9762311,0.6888129711151123
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7677,CNV_DRUSEN,0.52590156,0.7816994,0.5651219487190247
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7678,DRUSEN_NORMAL,0.7007388,0.5571003,0.5891405940055847
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7680,CNV_DRUSEN,0.52391833,0.7943722,0.7745073437690735
2,DRUSEN,['DRUSEN'],1,1,0,7681,Singleton,0.2912792,0.91600317,0.7559364438056946
2,DRUSEN,['DRUSEN'],1,1,0,7683,Singleton,0.28495654,0.9233591,0.6943199634552002
2,DRUSEN,['DRUSEN'],1,1,0,7688,Singleton,0.404607,0.8609875,0.6148881912231445
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7689,CNV_DRUSEN,0.64556736,0.72911,0.4595920145511627
2,DRUSEN,['DRUSEN'],1,1,0,7691,Singleton,0.3412401,0.8928292,0.5287325382232666
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7692,DRUSEN_NORMAL,0.7220441,0.5336975,0.7039127945899963
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7695,CNV_DRUSEN,0.70991623,0.55353296,0.8868643045425415
2,DRUSEN,['DRUSEN'],1,1,0,7699,Singleton,0.34618706,0.8910188,0.5847498774528503
2,DRUSEN,['DRUSEN'],1,1,0,7702,Singleton,0.312845,0.9062171,0.778564989566803
2,DRUSEN,['DRUSEN'],1,1,0,7703,Singleton,0.31449816,0.90531385,0.7830234169960022
2,DRUSEN,['DRUSEN'],1,1,0,7706,Singleton,0.47984067,0.83841586,0.5816171169281006
2,DRUSEN,['DRUSEN'],1,1,0,7708,Singleton,0.3402973,0.90004206,0.7144074440002441
2,DRUSEN,['DRUSEN'],1,1,0,7711,Singleton,0.26508018,0.9269068,0.5923543572425842
2,DRUSEN,['DRUSEN'],1,1,0,7714,Singleton,0.26606834,0.92589194,0.4729308784008026
2,DRUSEN,['DRUSEN'],1,1,0,7716,Singleton,0.19794159,0.9603603,0.7692054510116577
2,DRUSEN,['DRUSEN'],1,1,0,7717,Singleton,0.3503547,0.88836586,0.5458465814590454
2,DRUSEN,['DRUSEN'],1,1,0,7719,Singleton,0.37854338,0.874313,0.652320921421051
2,DRUSEN,['DRUSEN'],1,1,0,7723,Singleton,0.38854018,0.88811904,0.6814754605293274
2,DRUSEN,['DRUSEN'],1,1,0,7725,Singleton,0.20596297,0.94900566,0.7611886262893677
2,DRUSEN,['DRUSEN'],1,1,0,7726,Singleton,0.22098501,0.94441277,0.7222460508346558
2,DRUSEN,['DRUSEN'],1,1,0,7728,Singleton,0.107720554,0.97832125,0.7340753078460693
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7729,CNV_DRUSEN,0.5971907,0.72171104,0.5956002473831177
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7730,DRUSEN_NORMAL,0.519992,0.80496323,0.6017323732376099
2,DRUSEN,['DRUSEN'],1,1,0,7731,Singleton,0.24855804,0.94851553,0.6298676133155823
2,DRUSEN,['DRUSEN'],1,1,0,7733,Singleton,0.42473552,0.84961426,0.5219196677207947
2,DRUSEN,['CNV'],1,0,0,7734,Other,0.3139587,0.92934245,0.11255718022584915
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7741,CNV_DRUSEN,0.5290471,0.7823419,0.7703267931938171
2,DRUSEN,['DRUSEN'],1,1,0,7742,Singleton,0.44315356,0.83935285,0.7516713738441467
2,DRUSEN,['DRUSEN'],1,1,0,7745,Singleton,0.4846495,0.814434,0.7666381001472473
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7748,CNV_DRUSEN,0.63522315,0.6776646,0.5178757905960083
2,DRUSEN,['DRUSEN'],1,1,0,7749,Singleton,0.15670744,0.96900594,0.7731176614761353
2,DRUSEN,['DRUSEN'],1,1,0,7751,Singleton,0.44029176,0.84263605,0.7888102531433105
2,DRUSEN,['DRUSEN'],1,1,0,7752,Singleton,0.34872222,0.88942796,0.8146612048149109
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7753,CNV_DRUSEN,0.55958855,0.7562452,0.46023231744766235
2,DRUSEN,['DRUSEN'],1,1,0,7754,Singleton,0.3208199,0.9044151,0.7919573783874512
2,DRUSEN,['DRUSEN'],1,1,0,7756,Singleton,0.16173181,0.96708196,0.7980074286460876
2,DRUSEN,['CNV'],1,0,0,7757,Other,0.3850366,0.8765452,0.22689276933670044
2,DRUSEN,['DRUSEN'],1,1,0,7760,Singleton,0.22723094,0.9417279,0.8036719560623169
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7763,CNV_DRUSEN,0.6838376,0.60500044,0.7748339176177979
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7765,CNV_DRUSEN,0.6684087,0.6350204,0.7459972500801086
2,DRUSEN,"['DME', 'NORMAL']",2,0,1,7768,Other,1.0046979,0.45542148,0.06182276830077171
2,DRUSEN,['DRUSEN'],1,1,0,7771,Singleton,0.34844348,0.9061039,0.6589357256889343
2,DRUSEN,['DRUSEN'],1,1,0,7772,Singleton,0.17376286,0.95833313,0.6180917024612427
2,DRUSEN,['DRUSEN'],1,1,0,7774,Singleton,0.32198888,0.92107826,0.3892282247543335
2,DRUSEN,['DRUSEN'],1,1,0,7777,Singleton,0.4250505,0.85012025,0.7352749109268188
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7778,CNV_DRUSEN,0.70250154,0.56072485,0.5497969388961792
2,DRUSEN,['DRUSEN'],1,1,0,7781,Singleton,0.3735891,0.87817276,0.8037158250808716
2,DRUSEN,['DRUSEN'],1,1,0,7783,Singleton,0.42352748,0.8535679,0.5676396489143372
2,DRUSEN,['DRUSEN'],1,1,0,7787,Singleton,0.29438233,0.9172377,0.8176616430282593
2,DRUSEN,['DRUSEN'],1,1,0,7796,Singleton,0.33797362,0.8943199,0.6180282831192017
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7799,CNV_DRUSEN,0.56956124,0.74675673,0.4255330562591553
2,DRUSEN,['DRUSEN'],1,1,0,7801,Singleton,0.3820259,0.89980716,0.5158097147941589
2,DRUSEN,['DRUSEN'],1,1,0,7803,Singleton,0.26496714,0.9260862,0.5744874477386475
2,DRUSEN,['DRUSEN'],1,1,0,7804,Singleton,0.4246232,0.84905463,0.6415187120437622
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7805,CNV_DRUSEN,0.69651324,0.5359609,0.7833759188652039
2,DRUSEN,['DRUSEN'],1,1,0,7806,Singleton,0.46904334,0.82256156,0.5364106893539429
2,DRUSEN,['DRUSEN'],1,1,0,7807,Singleton,0.19538721,0.96142405,0.7526496648788452
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7815,CNV_DRUSEN,0.6487786,0.6565401,0.7282535433769226
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7817,CNV_DRUSEN,0.55907756,0.75728637,0.6840074062347412
2,DRUSEN,['NORMAL'],1,0,0,7820,Other,0.54268146,0.83622247,0.5998618602752686
2,DRUSEN,['DRUSEN'],1,1,0,7822,Singleton,0.46528587,0.8280109,0.758209764957428
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7825,CNV_DRUSEN,0.55935556,0.75772935,0.6117183566093445
2,DRUSEN,['DRUSEN'],1,1,0,7826,Singleton,0.30745536,0.9120105,0.6466976404190063
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7827,CNV_DRUSEN,0.64482665,0.6629271,0.5339438319206238
2,DRUSEN,['DRUSEN'],1,1,0,7829,Singleton,0.27492025,0.92274123,0.6653997302055359
2,DRUSEN,['DRUSEN'],1,1,0,7837,Singleton,0.22951065,0.94084775,0.5593230128288269
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7838,CNV_DRUSEN,0.70234525,0.50720286,0.6348013281822205
2,DRUSEN,['DRUSEN'],1,1,0,7839,Singleton,0.557866,0.8452202,0.3247462809085846
2,DRUSEN,['DRUSEN'],1,1,0,7840,Singleton,0.30055442,0.9278515,0.795885443687439
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7846,CNV_DRUSEN,0.606921,0.71854395,0.5956514477729797
2,DRUSEN,['DRUSEN'],1,1,0,7847,Singleton,0.17223094,0.9586623,0.4981963038444519
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7849,DRUSEN_NORMAL,0.63601804,0.6821409,0.6780506372451782
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7851,CNV_DRUSEN,0.57027364,0.76388013,0.5214899778366089
2,DRUSEN,['DRUSEN'],1,1,0,7857,Singleton,0.30674842,0.9086344,0.7662941813468933
2,DRUSEN,['DRUSEN'],1,1,0,7860,Singleton,0.34157348,0.89267087,0.694990336894989
2,DRUSEN,['DRUSEN'],1,1,0,7863,Singleton,0.4711857,0.860367,0.6276547312736511
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7864,CNV_DRUSEN,0.59133124,0.737202,0.6751388311386108
2,DRUSEN,['DRUSEN'],1,1,0,7867,Singleton,0.078409344,0.9875134,0.7375515699386597
2,DRUSEN,['DRUSEN'],1,1,0,7868,Singleton,0.4194932,0.85241616,0.6685421466827393
2,DRUSEN,['DRUSEN'],1,1,0,7874,Singleton,0.30611393,0.90988487,0.7561755776405334
2,DRUSEN,['DRUSEN'],1,1,0,7875,Singleton,0.25681365,0.9296437,0.5029322504997253
2,DRUSEN,['DRUSEN'],1,1,0,7878,Singleton,0.15706742,0.96341985,0.6926575303077698
2,DRUSEN,['DRUSEN'],1,1,0,7881,Singleton,0.15182857,0.9660118,0.5507463216781616
2,DRUSEN,['DRUSEN'],1,1,0,7882,Singleton,0.3883515,0.86931664,0.5517144799232483
2,DRUSEN,['DRUSEN'],1,1,0,7884,Singleton,0.47024012,0.82531554,0.5069026947021484
2,DRUSEN,['DRUSEN'],1,1,0,7885,Singleton,0.45122465,0.8354747,0.7703580856323242
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7889,DRUSEN_NORMAL,0.7337981,0.5488102,0.7936623692512512
2,DRUSEN,['DRUSEN'],1,1,0,7891,Singleton,0.13803367,0.96915984,0.6366777420043945
2,DRUSEN,['DRUSEN'],1,1,0,7894,Singleton,0.17731328,0.95710284,0.7333224415779114
2,DRUSEN,['DRUSEN'],1,1,0,7900,Singleton,0.3108093,0.9093072,0.6467780470848083
2,DRUSEN,['DRUSEN'],1,1,0,7901,Singleton,0.2559822,0.93199706,0.6057347059249878
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7906,DRUSEN_NORMAL,0.7143351,0.5475622,0.549496591091156
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7908,CNV_DRUSEN,0.54896283,0.77678216,0.5618253946304321
2,DRUSEN,['DRUSEN'],1,1,0,7920,Singleton,0.41489607,0.90026015,0.7385265827178955
2,DRUSEN,['DRUSEN'],1,1,0,7923,Singleton,0.34113342,0.8936449,0.5984798073768616
2,DRUSEN,['DRUSEN'],1,1,0,7924,Singleton,0.24948423,0.9319162,0.4866347014904022
2,DRUSEN,['DRUSEN'],1,1,0,7925,Singleton,0.28013942,0.92572546,0.7501009106636047
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7926,CNV_DRUSEN,0.7165853,0.5530545,0.861703634262085
2,DRUSEN,['DRUSEN'],1,1,0,7930,Singleton,0.14799061,0.9720604,0.756374716758728
2,DRUSEN,['DRUSEN'],1,1,0,7932,Singleton,0.41726142,0.8537909,0.5297918319702148
2,DRUSEN,['DRUSEN'],1,1,0,7933,Singleton,0.304975,0.90897995,0.6495783925056458
2,DRUSEN,['DRUSEN'],1,1,0,7934,Singleton,0.19119582,0.9563508,0.689878523349762
2,DRUSEN,['CNV'],1,0,0,7935,Other,0.10840663,0.9819935,0.45743685960769653
2,DRUSEN,"['DRUSEN', 'NORMAL']",2,1,1,7938,DRUSEN_NORMAL,0.7394833,0.609783,0.8441287279129028
2,DRUSEN,['DRUSEN'],1,1,0,7939,Singleton,0.25024486,0.93163854,0.6678552627563477
2,DRUSEN,['DRUSEN'],1,1,0,7940,Singleton,0.40972593,0.8574927,0.23788031935691833
2,DRUSEN,['DRUSEN'],1,1,0,7944,Singleton,0.46804023,0.83413196,0.6358090043067932
2,DRUSEN,['DRUSEN'],1,1,0,7945,Singleton,0.391138,0.89004344,0.8608638048171997
2,DRUSEN,['DRUSEN'],1,1,0,7947,Singleton,0.053459182,0.9908545,0.6328606009483337
2,DRUSEN,"['CNV', 'DRUSEN']",2,1,1,7949,CNV_DRUSEN,0.56382567,0.74909955,0.5648386478424072
2,DRUSEN,['DRUSEN'],1,1,0,7953,Singleton,0.3233873,0.9145553,0.7789369225502014
2,DRUSEN,['DRUSEN'],1,1,0,7956,Singleton,0.33197188,0.8970369,0.6681467294692993
2,DRUSEN,['DRUSEN'],1,1,0,7959,Singleton,0.41451648,0.8583137,0.4791901707649231
2,DRUSEN,['DRUSEN'],1,1,0,7960,Singleton,0.1506654,0.96553266,0.6709757447242737
2,DRUSEN,['DRUSEN'],1,1,0,7963,Singleton,0.3356474,0.8960662,0.49798616766929626
